shipping_id,order_id,shipping_date,shipping_provider,delivery_status
230,230,2023-01-08,UPS,Processing
231,231,2023-12-29,UPS,Delivered
232,232,2024-10-10,DHL,Pending
233,233,2024-03-29,UPS,Processing
234,234,2024-11-19,FedEx,Shipped
235,235,2024-05-28,FedEx,Delivered
236,236,2023-03-16,FedEx,Processing
237,237,2022-10-27,DHL,Shipped
238,238,2022-05-29,USPS,Delivered
239,239,2022-09-19,Amazon Logistics,Shipped
240,240,2021-04-29,USPS,Processing
241,241,2021-05-10,USPS,Delivered
242,242,2022-05-22,DHL,Shipped
243,243,2023-04-09,Bluedart,Delivered
244,244,2022-07-02,DHL,Returned
245,245,2023-11-24,Bluedart,Returned
246,246,2023-05-29,DHL,Pending
247,247,2023-11-07,Amazon Logistics,Returned
248,248,2022-10-08,USPS,Delivered
249,249,2022-06-15,UPS,Out for Delivery
250,250,2023-08-19,DHL,Shipped
251,251,2024-08-30,UPS,Returned
252,252,2021-04-26,UPS,Returned
253,253,2022-10-05,Bluedart,Out for Delivery
254,254,2023-03-22,DHL,Pending
255,255,2021-09-27,DHL,Returned
256,256,2024-10-31,DHL,Pending
257,257,2024-04-18,DHL,Processing
258,258,2021-10-03,Amazon Logistics,Shipped
259,259,2024-01-26,USPS,Pending
260,260,2024-10-27,FedEx,Delivered
261,261,2024-05-14,UPS,Shipped
262,262,2023-07-21,Amazon Logistics,Returned
263,263,2021-02-27,DHL,Delivered
264,264,2023-08-12,UPS,Processing
265,265,2021-11-12,UPS,Delivered
266,266,2024-10-15,Amazon Logistics,Pending
267,267,2022-02-03,DHL,Processing
268,268,2024-11-03,UPS,Pending
269,269,2024-10-12,DHL,Processing
270,270,2022-03-30,USPS,Pending
271,271,2023-08-19,FedEx,Delivered
272,272,2023-09-01,USPS,Delivered
273,273,2024-04-25,DHL,Returned
274,274,2023-06-13,Bluedart,Processing
275,275,2022-03-17,Bluedart,Shipped
276,276,2021-11-03,DHL,Delivered
277,277,2024-12-05,FedEx,Delivered
278,278,2023-05-08,FedEx,Pending
279,279,2021-08-29,USPS,Processing
280,280,2024-05-06,Amazon Logistics,Processing
281,281,2021-01-18,USPS,Processing
282,282,2024-01-17,USPS,Out for Delivery
283,283,2023-08-27,UPS,Shipped
284,284,2024-09-02,UPS,Out for Delivery
285,285,2024-04-29,FedEx,Delivered
286,286,2024-03-28,USPS,Processing
287,287,2022-08-13,USPS,Shipped
288,288,2022-06-19,Amazon Logistics,Returned
289,289,2021-12-13,Bluedart,Delivered
290,290,2022-04-30,UPS,Out for Delivery
291,291,2024-05-25,UPS,Shipped
292,292,2021-06-05,USPS,Processing
293,293,2023-06-01,UPS,Delivered
294,294,2021-11-15,Amazon Logistics,Delivered
295,295,2024-12-01,Bluedart,Delivered
296,296,2024-07-14,Amazon Logistics,Processing
297,297,2023-06-15,DHL,Processing
298,298,2022-10-15,Amazon Logistics,Pending
299,299,2024-09-01,FedEx,Delivered
300,300,2021-08-03,DHL,Shipped
301,301,2022-04-22,FedEx,Pending
302,302,2021-07-28,USPS,Returned
303,303,2021-03-02,DHL,Shipped
304,304,2023-07-22,UPS,Pending
305,305,2023-10-07,DHL,Pending
306,306,2021-06-21,DHL,Out for Delivery
307,307,2023-08-05,Amazon Logistics,Delivered
308,308,2021-12-06,FedEx,Returned
309,309,2021-11-17,Bluedart,Returned
310,310,2023-03-14,Amazon Logistics,Out for Delivery
311,311,2021-06-11,Bluedart,Processing
312,312,2023-08-20,Amazon Logistics,Processing
313,313,2023-12-18,USPS,Returned
314,314,2022-05-01,FedEx,Delivered
315,315,2021-12-23,Amazon Logistics,Delivered
316,316,2022-03-24,UPS,Out for Delivery
317,317,2023-01-27,UPS,Delivered
318,318,2024-08-01,Bluedart,Pending
319,319,2023-10-26,Amazon Logistics,Processing
320,320,2024-05-04,DHL,Processing
321,321,2022-02-12,Bluedart,Out for Delivery
322,322,2022-07-19,Bluedart,Out for Delivery
323,323,2024-07-28,USPS,Out for Delivery
324,324,2024-12-15,FedEx,Shipped
325,325,2022-11-02,Amazon Logistics,Out for Delivery
326,326,2021-02-02,DHL,Returned
327,327,2022-08-31,FedEx,Out for Delivery
328,328,2022-06-03,Amazon Logistics,Returned
329,329,2023-01-18,FedEx,Shipped
330,330,2024-01-15,UPS,Returned
331,331,2023-09-13,UPS,Delivered
332,332,2023-03-12,Amazon Logistics,Delivered
333,333,2024-02-25,USPS,Delivered
334,334,2024-02-04,UPS,Pending
335,335,2021-12-29,USPS,Delivered
336,336,2024-01-12,Bluedart,Pending
337,337,2022-09-17,UPS,Processing
338,338,2023-07-27,USPS,Returned
339,339,2021-09-19,Amazon Logistics,Processing
340,340,2022-05-19,Amazon Logistics,Out for Delivery
341,341,2025-01-05,USPS,Shipped
342,342,2022-08-01,USPS,Out for Delivery
343,343,2022-01-06,DHL,Processing
344,344,2022-08-09,Bluedart,Returned
345,345,2023-11-02,FedEx,Out for Delivery
346,346,2021-10-18,Bluedart,Shipped
347,347,2022-01-15,UPS,Delivered
348,348,2022-08-05,Bluedart,Delivered
349,349,2024-07-09,DHL,Out for Delivery
350,350,2024-06-28,DHL,Delivered
351,351,2022-02-06,USPS,Returned
352,352,2024-08-20,USPS,Shipped
353,353,2021-05-23,FedEx,Pending
354,354,2023-02-08,FedEx,Out for Delivery
355,355,2024-10-04,Amazon Logistics,Returned
356,356,2023-04-01,FedEx,Out for Delivery
357,357,2021-08-28,UPS,Shipped
358,358,2024-03-12,USPS,Shipped
359,359,2022-11-01,Bluedart,Out for Delivery
360,360,2021-12-25,Amazon Logistics,Out for Delivery
361,361,2023-09-07,USPS,Pending
362,362,2021-10-09,Bluedart,Shipped
363,363,2024-06-19,DHL,Delivered
364,364,2021-03-30,FedEx,Out for Delivery
365,365,2023-01-05,USPS,Processing
366,366,2021-01-18,Bluedart,Processing
367,367,2022-09-03,FedEx,Pending
368,368,2023-01-22,Bluedart,Delivered
369,369,2021-02-21,DHL,Pending
370,370,2021-06-15,UPS,Pending
371,371,2023-09-14,Bluedart,Processing
372,372,2022-04-23,Bluedart,Processing
373,373,2021-12-31,USPS,Pending
374,374,2024-07-14,DHL,Returned
375,375,2023-09-26,UPS,Delivered
376,376,2024-04-08,FedEx,Processing
377,377,2021-12-23,UPS,Pending
378,378,2021-01-19,DHL,Returned
379,379,2023-06-02,USPS,Delivered
380,380,2024-07-18,Amazon Logistics,Delivered
381,381,2024-02-19,Bluedart,Out for Delivery
382,382,2024-07-29,FedEx,Delivered
383,383,2024-12-16,DHL,Out for Delivery
384,384,2022-08-04,Bluedart,Out for Delivery
385,385,2021-10-10,Bluedart,Out for Delivery
386,386,2021-09-20,Bluedart,Returned
387,387,2021-11-03,UPS,Returned
388,388,2023-08-14,Amazon Logistics,Returned
389,389,2024-07-24,DHL,Shipped
390,390,2022-05-19,FedEx,Shipped
391,391,2022-05-05,DHL,Processing
392,392,2023-04-26,Bluedart,Out for Delivery
393,393,2023-08-21,FedEx,Shipped
394,394,2021-11-06,FedEx,Shipped
395,395,2022-03-10,USPS,Out for Delivery
396,396,2024-01-30,FedEx,Pending
397,397,2021-09-25,Amazon Logistics,Pending
398,398,2024-11-02,UPS,Processing
399,399,2023-10-30,FedEx,Processing
400,400,2021-01-18,UPS,Returned
401,401,2021-11-16,UPS,Delivered
402,402,2023-12-12,Bluedart,Out for Delivery
403,403,2024-11-30,USPS,Delivered
404,404,2022-11-26,UPS,Delivered
405,405,2021-07-06,Amazon Logistics,Out for Delivery
406,406,2022-01-16,DHL,Delivered
407,407,2021-07-29,USPS,Delivered
408,408,2021-07-04,Bluedart,Processing
409,409,2024-01-31,UPS,Pending
410,410,2024-03-15,FedEx,Out for Delivery
411,411,2024-07-21,DHL,Returned
412,412,2023-01-15,DHL,Pending
413,413,2024-06-04,USPS,Pending
414,414,2022-09-15,FedEx,Processing
415,415,2023-11-01,Bluedart,Delivered
416,416,2022-02-18,Bluedart,Returned
417,417,2024-10-04,UPS,Pending
418,418,2022-05-27,DHL,Processing
419,419,2023-10-04,Amazon Logistics,Returned
420,420,2021-05-08,UPS,Delivered
421,421,2024-01-21,DHL,Delivered
422,422,2022-05-23,DHL,Processing
423,423,2024-12-10,UPS,Shipped
424,424,2024-01-24,Amazon Logistics,Processing
425,425,2022-06-29,USPS,Delivered
426,426,2021-05-13,FedEx,Processing
427,427,2024-03-19,FedEx,Out for Delivery
428,428,2021-08-24,FedEx,Pending
429,429,2022-08-04,Amazon Logistics,Out for Delivery
430,430,2022-06-14,DHL,Processing
431,431,2024-05-13,DHL,Out for Delivery
432,432,2023-03-28,Amazon Logistics,Delivered
433,433,2022-10-23,USPS,Processing
434,434,2024-08-15,DHL,Returned
435,435,2021-01-13,Amazon Logistics,Shipped
436,436,2023-08-16,Amazon Logistics,Shipped
437,437,2022-11-16,DHL,Pending
438,438,2023-11-14,Amazon Logistics,Out for Delivery
439,439,2024-12-27,UPS,Shipped
440,440,2021-06-30,Amazon Logistics,Out for Delivery
441,441,2022-05-26,Bluedart,Returned
442,442,2022-12-28,Amazon Logistics,Returned
443,443,2023-04-15,DHL,Delivered
444,444,2023-09-02,FedEx,Returned
445,445,2022-10-03,FedEx,Processing
446,446,2023-08-19,Bluedart,Returned
447,447,2024-09-30,DHL,Shipped
448,448,2024-11-08,UPS,Pending
449,449,2021-08-28,DHL,Pending
450,450,2023-11-10,UPS,Returned
451,451,2023-09-27,FedEx,Out for Delivery
452,452,2024-05-05,Bluedart,Shipped
453,453,2021-08-18,Amazon Logistics,Returned
454,454,2021-02-20,DHL,Returned
455,455,2023-04-17,FedEx,Out for Delivery
456,456,2023-06-20,FedEx,Out for Delivery
457,457,2021-11-04,DHL,Processing
458,458,2021-09-16,FedEx,Shipped
459,459,2022-01-10,Amazon Logistics,Returned
460,460,2022-11-26,UPS,Out for Delivery
461,461,2024-07-16,Bluedart,Out for Delivery
462,462,2022-10-05,DHL,Out for Delivery
463,463,2023-09-02,Amazon Logistics,Returned
464,464,2024-10-19,UPS,Returned
465,465,2021-03-10,UPS,Processing
466,466,2022-12-07,DHL,Out for Delivery
467,467,2023-01-16,UPS,Returned
468,468,2021-02-01,DHL,Processing
469,469,2024-09-06,FedEx,Returned
470,470,2021-10-13,UPS,Delivered
471,471,2022-09-08,Amazon Logistics,Pending
472,472,2023-08-28,UPS,Out for Delivery
473,473,2024-08-17,Bluedart,Shipped
474,474,2024-05-27,Bluedart,Out for Delivery
475,475,2021-01-24,FedEx,Out for Delivery
476,476,2024-03-15,DHL,Shipped
477,477,2022-04-29,Bluedart,Returned
478,478,2024-09-28,FedEx,Returned
479,479,2024-01-28,DHL,Delivered
480,480,2023-08-13,Bluedart,Processing
481,481,2024-08-01,DHL,Returned
482,482,2024-01-26,USPS,Delivered
483,483,2021-03-14,Amazon Logistics,Out for Delivery
484,484,2024-02-01,FedEx,Pending
485,485,2023-12-09,UPS,Pending
486,486,2022-11-21,UPS,Returned
487,487,2022-03-12,USPS,Pending
488,488,2023-11-06,DHL,Delivered
489,489,2023-06-21,USPS,Returned
490,490,2022-05-22,DHL,Returned
491,491,2024-06-24,USPS,Returned
492,492,2024-03-13,UPS,Out for Delivery
493,493,2023-09-07,DHL,Shipped
494,494,2023-09-16,Bluedart,Processing
495,495,2021-11-12,UPS,Delivered
496,496,2024-06-22,USPS,Returned
497,497,2021-12-01,FedEx,Out for Delivery
498,498,2023-05-16,USPS,Pending
499,499,2022-07-09,DHL,Pending
500,500,2022-12-04,Bluedart,Processing
501,501,2025-01-03,USPS,Returned
502,502,2021-10-01,Amazon Logistics,Delivered
503,503,2023-06-18,FedEx,Shipped
504,504,2021-06-19,Bluedart,Returned
505,505,2024-02-20,Amazon Logistics,Returned
506,506,2022-09-18,Amazon Logistics,Returned
507,507,2022-03-22,Bluedart,Out for Delivery
508,508,2023-07-23,Bluedart,Delivered
509,509,2024-11-21,DHL,Delivered
510,510,2023-05-12,UPS,Returned
511,511,2023-02-18,FedEx,Returned
512,512,2021-01-11,USPS,Out for Delivery
513,513,2021-03-01,FedEx,Processing
514,514,2024-10-14,UPS,Returned
515,515,2024-06-24,DHL,Pending
516,516,2021-09-09,Bluedart,Pending
517,517,2021-02-16,UPS,Shipped
518,518,2024-01-31,Amazon Logistics,Out for Delivery
519,519,2021-07-16,Amazon Logistics,Returned
520,520,2023-11-14,Bluedart,Shipped
521,521,2022-07-02,FedEx,Out for Delivery
522,522,2024-02-07,UPS,Delivered
523,523,2023-06-21,Bluedart,Pending
524,524,2024-07-20,Bluedart,Delivered
525,525,2023-01-05,USPS,Processing
526,526,2021-02-15,USPS,Pending
527,527,2024-06-16,DHL,Out for Delivery
528,528,2022-06-20,UPS,Out for Delivery
529,529,2021-10-12,UPS,Delivered
530,530,2022-12-11,Amazon Logistics,Delivered
531,531,2023-06-02,UPS,Pending
532,532,2022-03-18,Bluedart,Processing
533,533,2023-11-24,FedEx,Out for Delivery
534,534,2023-07-03,USPS,Shipped
535,535,2023-03-21,DHL,Returned
536,536,2022-01-23,UPS,Returned
537,537,2023-01-28,USPS,Shipped
538,538,2021-09-27,Amazon Logistics,Out for Delivery
539,539,2024-07-18,DHL,Delivered
540,540,2024-03-20,Amazon Logistics,Pending
541,541,2021-08-18,Bluedart,Shipped
542,542,2021-10-07,USPS,Returned
543,543,2022-10-28,Bluedart,Delivered
544,544,2024-11-10,Bluedart,Returned
545,545,2021-08-15,UPS,Processing
546,546,2023-07-06,Amazon Logistics,Pending
547,547,2024-10-24,FedEx,Pending
548,548,2022-06-13,Amazon Logistics,Out for Delivery
549,549,2021-10-17,Amazon Logistics,Pending
550,550,2021-06-17,USPS,Shipped
551,551,2024-02-13,Amazon Logistics,Returned
552,552,2024-09-27,FedEx,Out for Delivery
553,553,2021-04-23,DHL,Pending
554,554,2022-09-11,FedEx,Delivered
555,555,2021-04-23,FedEx,Processing
556,556,2023-01-26,Amazon Logistics,Pending
557,557,2022-10-24,Bluedart,Delivered
558,558,2021-05-26,Bluedart,Processing
559,559,2022-08-07,Bluedart,Returned
560,560,2024-07-06,UPS,Shipped
561,561,2024-06-03,FedEx,Out for Delivery
562,562,2021-08-26,Amazon Logistics,Returned
563,563,2024-11-13,FedEx,Pending
564,564,2021-09-14,Amazon Logistics,Out for Delivery
565,565,2021-11-30,DHL,Returned
566,566,2022-12-22,UPS,Shipped
567,567,2023-07-06,USPS,Out for Delivery
568,568,2022-02-14,FedEx,Delivered
569,569,2024-06-01,USPS,Out for Delivery
570,570,2024-11-14,USPS,Out for Delivery
571,571,2023-10-14,Bluedart,Returned
572,572,2022-05-19,UPS,Delivered
573,573,2021-11-10,Amazon Logistics,Delivered
574,574,2024-07-13,UPS,Processing
575,575,2023-07-28,DHL,Processing
576,576,2021-05-21,UPS,Processing
577,577,2023-11-15,FedEx,Pending
578,578,2021-04-12,FedEx,Processing
579,579,2022-01-07,FedEx,Shipped
580,580,2024-08-14,DHL,Out for Delivery
581,581,2023-07-17,Amazon Logistics,Out for Delivery
582,582,2021-05-25,USPS,Pending
583,583,2022-09-03,Amazon Logistics,Returned
584,584,2022-08-21,FedEx,Delivered
585,585,2024-09-03,FedEx,Shipped
586,586,2023-09-18,USPS,Returned
587,587,2021-02-14,USPS,Processing
588,588,2022-10-17,UPS,Out for Delivery
589,589,2024-01-03,UPS,Processing
590,590,2022-07-17,Bluedart,Pending
591,591,2021-02-05,FedEx,Returned
592,592,2024-03-13,Bluedart,Shipped
593,593,2021-05-27,DHL,Shipped
594,594,2022-12-30,DHL,Processing
595,595,2024-09-30,USPS,Processing
596,596,2021-12-06,Bluedart,Processing
597,597,2024-09-20,Bluedart,Returned
598,598,2024-12-11,Bluedart,Pending
599,599,2021-11-01,FedEx,Shipped
600,600,2022-03-07,UPS,Returned
601,601,2022-03-06,UPS,Out for Delivery
602,602,2021-07-19,FedEx,Pending
603,603,2022-08-10,Bluedart,Out for Delivery
604,604,2024-08-02,USPS,Delivered
605,605,2023-09-08,Amazon Logistics,Processing
606,606,2024-03-23,DHL,Processing
607,607,2022-11-26,Bluedart,Processing
608,608,2022-05-01,UPS,Pending
609,609,2022-03-28,USPS,Shipped
610,610,2023-07-28,DHL,Processing
611,611,2021-11-14,USPS,Processing
612,612,2024-07-03,FedEx,Pending
613,613,2022-05-04,Bluedart,Delivered
614,614,2023-01-27,Amazon Logistics,Delivered
615,615,2021-03-05,Amazon Logistics,Delivered
616,616,2023-11-16,FedEx,Pending
617,617,2021-11-22,Bluedart,Delivered
618,618,2024-08-23,Amazon Logistics,Out for Delivery
619,619,2023-04-17,USPS,Pending
620,620,2023-03-09,Bluedart,Out for Delivery
621,621,2023-12-31,DHL,Shipped
622,622,2024-09-01,Bluedart,Out for Delivery
623,623,2022-07-01,USPS,Processing
624,624,2022-06-05,FedEx,Delivered
625,625,2022-10-27,FedEx,Pending
626,626,2023-02-12,UPS,Shipped
627,627,2021-09-28,FedEx,Delivered
628,628,2023-01-11,USPS,Pending
629,629,2024-05-28,Bluedart,Shipped
630,630,2024-12-30,DHL,Shipped
631,631,2021-05-18,USPS,Delivered
632,632,2024-03-22,DHL,Pending
633,633,2022-01-15,UPS,Out for Delivery
634,634,2021-02-08,Bluedart,Pending
635,635,2022-02-02,DHL,Processing
636,636,2021-05-15,FedEx,Processing
637,637,2021-01-20,Amazon Logistics,Pending
638,638,2024-07-01,Bluedart,Pending
639,639,2022-11-19,UPS,Shipped
640,640,2023-06-09,UPS,Returned
641,641,2021-05-30,Amazon Logistics,Returned
642,642,2021-08-11,FedEx,Pending
643,643,2021-04-14,Amazon Logistics,Shipped
644,644,2021-07-18,USPS,Shipped
645,645,2023-07-17,USPS,Returned
646,646,2024-04-23,Bluedart,Processing
647,647,2022-11-17,DHL,Shipped
648,648,2021-01-18,DHL,Processing
649,649,2021-12-27,Bluedart,Returned
650,650,2021-03-05,FedEx,Delivered
651,651,2022-05-15,DHL,Returned
652,652,2021-01-23,Amazon Logistics,Shipped
653,653,2021-09-29,FedEx,Processing
654,654,2021-06-29,DHL,Out for Delivery
